"system","code","display","valueset","tf"
"system","code","display","valueset","tf"
"http://www.nlm.nih.gov/research/umls/rxnorm","197895","lomustine 100 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","197896","lomustine 40 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","202588","endoxana","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","202589","cytoxan","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","206794","ceenu 10 mg oral capsule","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","206795","ceenu 40 mg oral capsule","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","206796","ceenu 100 mg oral capsule","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2105","carmustine","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","210570","cyclophosphamide 25 mg oral tablet [cytoxan]","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","210639","cyclophosphamide 50 mg oral tablet [cytoxan]","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111314","cyclophosphamide only product","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111315","cyclophosphamide only product in oral dose form","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111316","cyclophosphamide only product in parenteral dose form","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111398","ifosfamide only product","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111399","ifosfamide only product in parenteral dose form","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2114242","carmustine only product","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2114243","carmustine only product in parenteral dose form","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2114986","lomustine only product in oral dose form","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2116931","product containing only temozolomide (medicinal product)","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2116932","product containing only temozolomide in oral dose form (medicinal product form)","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","212994","gliadel wafer 7.7 mg intracavitary drug implant","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","217357","gliadel","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","217701","ifex","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2183254","carmustine only product in prolonged-release intralesional implant","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2183648","product containing only temozolomide in parenteral dose form (medicinal product form)","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2386859","cyclophosphamide 200 mg/ml injectable solution","rx_class_alkylating","9"
"http://www.nlm.nih.gov/research/umls/rxnorm","2567441","cyclophosphamide 200 mg powder for solution for injection vial","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2568661","5 ml cyclophosphamide 200 mg/ml injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2568662","cyclophosphamide 200 mg/ml injection","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2568663","2.5 ml cyclophosphamide 200 mg/ml injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2570483","cyclophosphamide 200mg/ml inj,soln_#1","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2605054","carmustine 300 mg injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2605056","carmustine 50 mg injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2608718","ifosfamide 500 mg powder for solution for injection vial","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","261288","temodar 5 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","261289","temodar 20 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","261290","temodar 100 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","261291","temodar 250 mg oral capsule","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","261663","temodar","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2627963","ifosfamide 2 g powder for solution for infusion and/or injection vial","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2644737","cyclophosphamide 500 mg/ml","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2644738","2 ml cyclophosphamide 500 mg/ml injection","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2644739","cyclophosphamide 500 mg/ml injection","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2644751","4 ml cyclophosphamide 500 mg/ml injection","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2644824","1 ml cyclophosphamide 500 mg/ml injection","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2679071","cyclophosphamide monohydrate","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2679073","cyclophosphamide 100 mg/ml injectable solution","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","3002","cyclophosphamide","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","309012","carmustine 100 mg injection","rx_class_alkylating","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","309013","carmustine 7.7 mg drug implant","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","309623","cyclophosphamide 20 mg/ml / mannitol 15 mg/ml injectable solution","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","310974","ifosfamide 50 mg/ml / mesna 50 mg/ml injectable solution","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","310976","ifosfamide 50 mg/ml / mesna 16.67 mg/ml injectable solution","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","313209","temozolomide 20 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","313210","temozolomide 250 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","313211","temozolomide 5 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","315746","cyclophosphamide 25 mg","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","315747","cyclophosphamide 50 mg","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","316160","lomustine 10 mg","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","316161","lomustine 100 mg","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","316162","lomustine 40 mg","rx_class_alkylating","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","317160","temozolomide 100 mg oral capsule","rx_class_alkylating","10"
"http://www.nlm.nih.gov/research/umls/rxnorm","330405","temozolomide 20 mg","rx_class_alkylating","4"
